sheet,longname,section,keystrokes,description
BaseSheet,cancel-all,,gCtrl+C,abort all secondary threads
BaseSheet,cancel-sheet,,Ctrl+C,abort all threads on current sheet
BaseSheet,check-version,,zCtrl+V,check VisiData version against given version
BaseSheet,cmdlog-all,,gShift+D,open global CommandLog for all commands executed in current session
BaseSheet,cmdlog-sheet,,Shift+D,open current sheet's CommandLog with all other loose ends removed; includes commands from parent sheets
BaseSheet,cmdlog-sheet-only,,zShift+D,open current sheet's CommandLog with parent sheets commands' removed
BaseSheet,columns-all,,gShift+C,open Columns Sheet: edit column properties for all visible columns from all sheets
BaseSheet,describe-all,,gShift+I,open Describe Sheet with description statistics for all visible columns from all sheets
BaseSheet,error-recent,Other Commands,Ctrl+E,view traceback for most recent error
BaseSheet,errors-all,Other Commands,gCtrl+E,view traceback for most recent errors
BaseSheet,exec-longname,,Space,execute command by its longname
BaseSheet,exec-python,,,execute Python statement with expression scope
BaseSheet,guard-sheet,,,Set quitguard on current sheet to confirm before quit
BaseSheet,help-commands,,zCtrl+H,view sheet of command longnames and keybindings for current sheet
BaseSheet,help-commands-all,,gzCtrl+H,view sheet of command longnames and keybindings for all sheet types
BaseSheet,help-search,,,search through command longnames with search terms
BaseSheet,import-python,,gCtrl+X,import Python module in the global scope
BaseSheet,jump-first,,gCtrl+^,jump to first sheet
BaseSheet,jump-prev,,Ctrl+^,jump to previous sheet in this pane
BaseSheet,jump-sheet-1,,Alt+1,jump to sheet 1
BaseSheet,jump-sheet-10,,Alt+0,jump to sheet 10
BaseSheet,jump-sheet-2,,Alt+2,jump to sheet 2
BaseSheet,jump-sheet-3,,Alt+3,jump to sheet 3
BaseSheet,jump-sheet-4,,Alt+4,jump to sheet 4
BaseSheet,jump-sheet-5,,Alt+5,jump to sheet 5
BaseSheet,jump-sheet-6,,Alt+6,jump to sheet 6
BaseSheet,jump-sheet-7,,Alt+7,jump to sheet 7
BaseSheet,jump-sheet-8,,Alt+8,jump to sheet 8
BaseSheet,jump-sheet-9,,Alt+9,jump to sheet 9
BaseSheet,menu-column,,Alt+c,
BaseSheet,menu-data,,Alt+d,
BaseSheet,menu-edit,,Alt+e,
BaseSheet,menu-file,,Alt+f,
BaseSheet,menu-help,,Alt+h,
BaseSheet,menu-plot,,Alt+p,
BaseSheet,menu-row,,Alt+r,
BaseSheet,menu-system,,Alt+s,
BaseSheet,menu-view,,Alt+v,
BaseSheet,mouse-disable,,,disable mouse events
BaseSheet,mouse-enable,,,enable mouse events
BaseSheet,no-op,,BUTTON1_RELEASED,
BaseSheet,open-colors,,,open Color Sheet with available terminal colors
BaseSheet,open-config,,gShift+O,open options.config as text sheet
BaseSheet,open-dir-current,,,open Directory Sheet: browse properties of files in current directory
BaseSheet,open-file,,o,Open file or URL
BaseSheet,open-inputs,,,
BaseSheet,open-memusage,,zCtrl+T,open Memory Usage Sheet
BaseSheet,open-new,,Shift+A,Open new empty sheet
BaseSheet,open-plugins,,,Open Plugins Sheet to manage supported plugins
BaseSheet,open-source,,,jump to the source of this sheet
BaseSheet,open-statuses,,Ctrl+P,open Status History
BaseSheet,open-tutorial-visidata,,,open https://jsvine.github.io/intro-to-visidata/
BaseSheet,open-vd,,Shift+V,open VisiData menu: browse list of core sheets
BaseSheet,options-global,,Shift+O,open Options Sheet: edit global options (apply to all sheets)
